Close,Volume USDT,RSI,MACD_Hist,ATR,KAMAO
-0.8973504863146513,-0.6634217879295524,0.013931970220802935,0.016069314005164148,-0.72184461671007,0.9355838730345212
-0.8997367468419707,-0.6638789394457415,-0.03953650920481201,0.018709565721695822,-0.722253091350825,0.8226207410462838
-0.8973292776575506,-0.6622464092639088,0.013553775459194515,0.021711268229215226,-0.7226373077369088,0.9303316876126622
-0.8977305225216206,-0.6621700064614938,0.004545838168684065,0.024590778281845072,-0.7229422702613829,0.9082377035504184
-0.8965841086242776,-0.6630003939850491,0.0298494592069159,0.027612583956711997,-0.7233381048328371,0.9579375617607809
-0.8974439190472848,-0.6641332114467217,0.010466996268316606,0.030433349718797173,-0.7239144980972143,0.9152704970234877
-0.8939186963129554,-0.6614800969310101,0.08822017398365653,0.03380029082144635,-0.7236446727249356,1.072671533390384
-0.891998453034906,-0.6637379993587919,0.13036954392291022,0.03743031681793479,-0.7237513612381751,1.156709534977533
-0.8917118495605703,-0.6643950302458749,0.13665934613063874,0.04104088710018706,-0.7242482840283799,1.166261513850142
-0.8909930480469361,-0.6640944649917155,0.15245840980942094,0.044705250366811305,-0.7244894786584104,1.1950608392184927
-0.8909695465620406,-0.6636113284288427,0.15297595515883364,0.04830402177475316,-0.7245647520349062,1.1910068396828666
-0.8918264909503045,-0.663988661781367,0.1333630443914059,0.051688718172318765,-0.724903684217918,1.1469832193819112
-0.8941754930259601,-0.662716776324247,0.07969027139174482,0.0546100078183626,-0.7249809794381248,1.0328724201996722
-0.892113667631589,-0.6638752920479835,0.1253722245018087,0.05782450723013597,-0.7253184124812351,1.1247346006223078
-0.8931448669322488,-0.6626766100875148,0.10178699604794131,0.06080163521538417,-0.7256416926819917,1.0726378478404748
-0.8914252460862345,-0.6629926046500393,0.13990752227093015,0.06401212597543263,-0.7258205480439147,1.1481042945219777
-0.8890172036948657,-0.6626254922999235,0.19312917027290663,0.0675678642733042,-0.7252828594606586,1.2524883184034616
-0.8897056252402201,-0.663458218092823,0.1772852793952381,0.0709366441421708,-0.7253327290284307,1.2148734503059344
-0.8894184485589357,-0.6638057116065543,0.18364568027243108,0.07428711393393465,-0.7255279958131949,1.2231520644743992
-0.8887884941223457,-0.6627911898261821,0.197620922854628,0.07767735817447172,-0.7260582956289259,1.2488534915646432
-0.8875337441117039,-0.6634182459238993,0.22546345556670358,0.08121216859698169,-0.7267047034478229,1.304202397126819
-0.8881831875845486,-0.6634671968133428,0.21036879577720624,0.08456540005435322,-0.7271088678915755,1.269735419582179
-0.8944059222193261,-0.6622323074861796,0.0667517856327665,0.0867949341151856,-0.7263330139416769,0.9707545551558818
-0.8925716599835775,-0.6624351583733095,0.10764986196524778,0.08928852629850123,-0.7265230905611293,1.0519516956828205
-0.8920546273158757,-0.6617473619648109,0.1191729558675418,0.09181739917160678,-0.7266342307480282,1.0712904020892784
-0.8942884147948484,-0.6629066119946047,0.06779769339742202,0.09391403768085842,-0.7268102623115459,0.9624934585513151
-0.8954955886287506,-0.6619196250109276,0.04009009254605794,0.09576059843009894,-0.726543014411724,0.9006607188572191
-0.8932595083219832,-0.6625990028982087,0.09017875293291461,0.09794561646590623,-0.7266029330153471,1.0004835319211058
-0.8940619980501232,-0.6637034098398744,0.07170525981492616,0.0999469863395579,-0.7265645146034805,0.9579867630944473
-0.8921704151195073,-0.6628325996175024,0.11407582598067328,0.10222488970967814,-0.7267968629311212,1.0421845266877945
-0.8944626697072445,-0.6633981804957457,0.06123567403608607,0.1040641676077139,-0.7271033755079898,0.9311112171694234
-0.8942918540365404,-0.6632881671903179,0.06507353157723847,0.10589074363922156,-0.7272785315430774,0.9348051857977979
-0.8954382679338834,-0.6628104570908518,0.03862235244232671,0.10748123352021588,-0.72750550022195,0.8766274616595736
-0.8922862029231391,-0.6634584426742739,0.10952273646246798,0.1095689727130638,-0.7276137165705727,1.019259411750603
-0.8942912808295918,-0.6621541483806201,0.06320295809337145,0.11126951182095988,-0.7278681979565269,0.9206989910087094
-0.8928869238053467,-0.6641572984541738,0.09477170365879345,0.11316829966874532,-0.7283105584779157,0.9827863218493257
-0.8916556752796004,-0.6636279396044227,0.1224247237784479,0.11523192515660713,-0.7289242263467515,1.037114901162564
-0.8942912808295918,-0.662613592960905,0.061415223296939686,0.11680115727592323,-0.7290282202961933,0.908157562573133
-0.9024302462937779,-0.6552227302638257,-0.12459799066873131,0.11695194907808766,-0.7275832366597701,0.5186075990889973
-0.9010052538193807,-0.6477116657896999,-0.0924223945349174,0.11733352836063717,-0.7264415860665134,0.5795258973092366
-0.8971573155729491,-0.6574989321953214,-0.005943512106091224,0.11835231142722831,-0.7259175410439671,0.753506913698019
-0.9011697642136494,-0.6603669323558943,-0.09684191032397639,0.11866282175466016,-0.7250045038769236,0.5608683961445322
-0.8998427901274749,-0.662404945185425,-0.06706365781976795,0.1191841554295975,-0.7250565037232741,0.6188799305758728
-0.8977247904521338,-0.6616902088480203,-0.019629470286803063,0.12004632967739386,-0.7252507700320834,0.7136590787792819
-0.895438841140832,-0.6625368509391469,0.03139258026163565,0.12127115228439261,-0.725235773320991,0.8152962676488911
-0.8992776080760848,-0.6629997668855995,-0.05561086539562146,0.12181276186820944,-0.7252865641296882,0.632646899279942
-0.8945606880954674,-0.6618240062838345,0.04924389876530891,0.1231352096403335,-0.7251762964327158,0.8471856658049268
-0.8902782589819429,-0.6622577921167649,0.1434963331408995,0.12514962106007363,-0.7248006515039132,1.0396599977336083
-0.8887311734274786,-0.6618279757951769,0.17736338714708164,0.1273785355796342,-0.724845707385577,1.1058221973373032
-0.8938327152706547,-0.6606627100998539,0.06189042200762708,0.1286899697124658,-0.7242936056505687,0.861959857293055
-0.8945199904021117,-0.662830503635802,0.04641631281032283,0.1298500213970639,-0.7244113812092253,0.8256797306666944
-0.8946913792797645,-0.6630781135370074,0.04255069704676256,0.13094893206188016,-0.724880433051392,0.8143486135112387
-0.8914246728792858,-0.6622743140326831,0.11444111415232842,0.13257080893872153,-0.7243198961944054,0.9595360585837402
-0.8938092137857591,-0.662270841651987,0.060541581099976906,0.1337469592939642,-0.7239564336869593,0.8432128207383676
-0.8948427059142137,-0.6635094846594244,0.037225518615393645,0.13471491956205045,-0.7241869105490613,0.7914832535210787
-0.8925722331905261,-0.6632408068257984,0.08724857277528324,0.13603888989203164,-0.7241228763288559,0.891714068795925
-0.8937180738809203,-0.6633731782471437,0.06132655474588566,0.13713245510622704,-0.7235605584030149,0.8321990153299861
-0.8941961284761123,-0.6636156718563784,0.050504640330335075,0.13811314328506055,-0.7236574730935724,0.8057208389940781
-0.8960103284686575,-0.6623815091651329,0.009448912912680033,0.13875637836149374,-0.7232212565052764,0.716426132052511
-0.8928760328733221,-0.661752650734476,0.07879953687535313,0.13990778674035684,-0.7223398072866702,0.8541636393401875
-0.893150025794787,-0.6638258481859007,0.07258129857178519,0.14097940843831186,-0.7227642527931168,0.8378699369980798
-0.8914252460862345,-0.6624706362393178,0.11070541709676482,0.14231160748964092,-0.7228477851848205,0.9128392276335684
-0.8902788321888916,-0.6639629164869212,0.13601610753356283,0.14380110411384942,-0.7232937614086203,0.9621024373161493
-0.8906227563580944,-0.6626356343025924,0.12814867884629977,0.14519191893644645,-0.7228129327347078,0.9396119782127503
-0.8914252460862345,-0.6624420347423989,0.10976708030343058,0.1464079880384989,-0.7227001330569431,0.8972737428505093
-0.8882026766208034,-0.6630122329379102,0.18110599115732998,0.14813513216545746,-0.7227345165701706,1.0408605533945565
-0.8868395904968628,-0.662632887860458,0.21117070159972604,0.1500479381008025,-0.7228048587012595,1.0984185494544614
-0.8856931765995198,-0.6621105809821956,0.2364398381664622,0.15210583933480148,-0.7234491026301523,1.1478951863036104
-0.8862663835481913,-0.6632896570113768,0.2231833874748746,0.1540141386384248,-0.723700877364097,1.1164400277822657
-0.8859224593789884,-0.6637390549718992,0.23079328031478,0.15593100156192083,-0.7239780697392311,1.1274756241500359
-0.883400348804834,-0.6631080144434054,0.2865325082379873,0.1582254213983355,-0.7239160890923299,1.2379444049334831
-0.8842607324347899,-0.6633877090995215,0.26650178114289574,0.16031618824541002,-0.7243746380962408,1.1936752612452357
-0.8853492524303169,-0.6637344102033287,0.2411563058239958,0.16216825208963206,-0.7249873921722237,1.1394279464795032
-0.8858467960617638,-0.6634992987240831,0.2295636399582666,0.1638861815773622,-0.7254000524437261,1.1120071424037856
-0.8843988753094196,-0.6633613842877653,0.26176559646285774,0.16580226555288838,-0.7256557845744739,1.1744149731931226
-0.8825990054905913,-0.6623401066922228,0.3017237893826534,0.1679721294136223,-0.7260440639462089,1.2536443962151407
-0.8851085055118749,-0.6620831248042971,0.24300111195769475,0.16965976084170722,-0.7263977304535117,1.1319226343721764
-0.8846573916432705,-0.6634924556491102,0.2530447750608131,0.1713763068768042,-0.7269342942808082,1.1489529296089742
-0.8822613865978238,-0.6625053028378868,0.30632585216574165,0.17345082368757783,-0.7270166116530835,1.2549393847644594
-0.8817391950675841,-0.6641725690673459,0.31792292924944526,0.17555836554213594,-0.7275056390111786,1.2747607117431268
-0.8836296315843025,-0.663937465415422,0.27345550482948794,0.17728884798039515,-0.7279157514899178,1.1813099269272567
-0.8846682825752952,-0.6640504498041019,0.24905651001268642,0.17879374207242918,-0.7281729791125764,1.1273332027261793
-0.882253934907491,-0.6641050991406198,0.3029364662238856,0.18066278710986122,-0.7282564267284142,1.2347481147655972
-0.8811929288455002,-0.6637149094233427,0.32656387709504237,0.18265921043771072,-0.7284500219643699,1.27874781719237
-0.8830592906703744,-0.6621220231261359,0.2825282042205867,0.18428382771097349,-0.728861229297581,1.1863177396785654
-0.8836869522791697,-0.6633484336295766,0.26772925614687937,0.1857536387720316,-0.7293038889669027,1.1521641511194418
-0.8850626489559812,-0.6635385152525355,0.235292574657462,0.18694454841337235,-0.7299274887044733,1.0835212461039323
